FILE=RE NEET PST 3 (1)-1-4.pdf
PARALLEL=1
provider=tesseract:pdf(4p)
draftCount=22
distinctQNumbers=22
qnums=[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22]
crops=22
----
pos=0 | page=1 | span=1..- | qnum=1 | type=VISUAL | class=MCQ | opt=4 | invalid=0 | needsReview=0 | coords=32,875,621,1122 | textSha=b2a92fe5ad7c | cropKey=verify/question-p1-0-RND.png | crop=18123:9f7783715de6
pos=11 | page=3 | span=3..- | qnum=12 | type=VISUAL | class=ASSERTION_REASON | opt=2 | invalid=0 | needsReview=0 | coords=32,762,622,1038 | textSha=ab9559dd85bf | cropKey=verify/question-p3-11-RND.png | crop=46184:f029d457d513
pos=12 | page=3 | span=3..- | qnum=13 | type=VISUAL | class=ASSERTION_REASON | opt=3 | invalid=0 | needsReview=0 | coords=32,1035,622,1584 | textSha=1392d23bf5d9 | cropKey=verify/question-p3-12-RND.png | crop=45115:df8e3124df88
pos=13 | page=3 | span=3..- | qnum=14 | type=VISUAL | class=MCQ | opt=4 | invalid=0 | needsReview=0 | coords=617,86,1224,299 | textSha=ed4f042ca929 | cropKey=verify/question-p3-13-RND.png | crop=22773:87e8e5d846bc
pos=14 | page=3 | span=3..4 | qnum=15 | type=VISUAL | class=DIAGRAM_BASED | opt=4 | invalid=0 | needsReview=1 | coords=617,296,1224,1584 | textSha=54b7582a9864 | cropKey=verify/question-p3-14-RND.png | crop=67482:bd3dc5048c9f
pos=15 | page=4 | span=4..- | qnum=16 | type=VISUAL | class=TRUE_FALSE | opt=5 | invalid=0 | needsReview=0 | coords=31,86,621,340 | textSha=9f850315bdf3 | cropKey=verify/question-p4-15-RND.png | crop=31374:32d0d02f55db
pos=16 | page=4 | span=4..- | qnum=17 | type=VISUAL | class=MCQ | opt=3 | invalid=0 | needsReview=0 | coords=31,338,621,536 | textSha=82629b3e52ad | cropKey=verify/question-p4-16-RND.png | crop=20342:3771c7d7040b
pos=17 | page=4 | span=4..- | qnum=18 | type=VISUAL | class=DIAGRAM_BASED | opt=4 | invalid=0 | needsReview=0 | coords=31,534,621,1005 | textSha=c00d65ca1e0d | cropKey=verify/question-p4-17-RND.png | crop=67204:baec200114ab
pos=18 | page=4 | span=4..- | qnum=19 | type=VISUAL | class=MCQ | opt=4 | invalid=0 | needsReview=0 | coords=31,1003,621,1584 | textSha=7722b1c4134c | cropKey=verify/question-p4-18-RND.png | crop=25728:b129e7af77b6
pos=19 | page=4 | span=4..- | qnum=20 | type=VISUAL | class=MCQ | opt=4 | invalid=0 | needsReview=0 | coords=615,86,1224,298 | textSha=f119d594ade6 | cropKey=verify/question-p4-19-RND.png | crop=17402:9470dcdfdb48
pos=20 | page=4 | span=4..- | qnum=21 | type=VISUAL | class=DIAGRAM_BASED | opt=4 | invalid=0 | needsReview=0 | coords=615,296,1224,901 | textSha=8beffaa2effe | cropKey=verify/question-p4-20-RND.png | crop=88111:f98a829fa31a
pos=21 | page=4 | span=4..- | qnum=22 | type=VISUAL | class=DIAGRAM_BASED | opt=4 | invalid=0 | needsReview=0 | coords=615,899,1224,1584 | textSha=5a1346a56c5f | cropKey=verify/question-p4-21-RND.png | crop=38022:9843bf81b187
